"Assay ID - IEDB IRI","Epitope - IEDB IRI","Complex - PDB ID"
http://www.iedb.org/assay/1848912,http://www.iedb.org/epitope/164075,1RZJ
http://www.iedb.org/assay/1849260,http://www.iedb.org/epitope/2134711,3K2M
http://www.iedb.org/assay/1850137,http://www.iedb.org/epitope/150956,2XQY
http://www.iedb.org/assay/1850148,http://www.iedb.org/epitope/174342,2NXY
http://www.iedb.org/assay/1850149,http://www.iedb.org/epitope/174342,2NXZ
http://www.iedb.org/assay/1850150,http://www.iedb.org/epitope/174342,2NY0
http://www.iedb.org/assay/1850151,http://www.iedb.org/epitope/174342,2NY1
http://www.iedb.org/assay/1850152,http://www.iedb.org/epitope/174342,2NY2
http://www.iedb.org/assay/1850153,http://www.iedb.org/epitope/174342,2NY3
http://www.iedb.org/assay/1850154,http://www.iedb.org/epitope/174342,2NY4
http://www.iedb.org/assay/1850155,http://www.iedb.org/epitope/174342,2NY5
http://www.iedb.org/assay/1850156,http://www.iedb.org/epitope/174342,2NY6
http://www.iedb.org/assay/1851714,http://www.iedb.org/epitope/149230,2FEE
http://www.iedb.org/assay/1851715,http://www.iedb.org/epitope/149230,2FED
http://www.iedb.org/assay/1851716,http://www.iedb.org/epitope/149230,2FEC
http://www.iedb.org/assay/1852186,http://www.iedb.org/epitope/149231,3DET
http://www.iedb.org/assay/1852362,http://www.iedb.org/epitope/159266,2XQB
http://www.iedb.org/assay/1852475,http://www.iedb.org/epitope/2135143,3NH7
http://www.iedb.org/assay/1852651,http://www.iedb.org/epitope/149231,2HTL
http://www.iedb.org/assay/1852663,http://www.iedb.org/epitope/149587,2H2P
http://www.iedb.org/assay/1852664,http://www.iedb.org/epitope/149587,2H2S
http://www.iedb.org/assay/1852665,http://www.iedb.org/epitope/149231,2EXW
http://www.iedb.org/assay/1852666,http://www.iedb.org/epitope/149231,2EXY
http://www.iedb.org/assay/1852667,http://www.iedb.org/epitope/149231,2EZ0
http://www.iedb.org/assay/1852682,http://www.iedb.org/epitope/149588,3EFF
http://www.iedb.org/assay/1852732,http://www.iedb.org/epitope/158567,3MXW
http://www.iedb.org/assay/1852787,http://www.iedb.org/epitope/142362,3OR7
http://www.iedb.org/assay/1852790,http://www.iedb.org/epitope/142362,3OR6
http://www.iedb.org/assay/1853169,http://www.iedb.org/epitope/158649,3O0R
http://www.iedb.org/assay/1853231,http://www.iedb.org/epitope/2135304,3NFP
http://www.iedb.org/assay/1853386,http://www.iedb.org/epitope/226417,3OGC
http://www.iedb.org/assay/1853518,http://www.iedb.org/epitope/149231,3EJY
http://www.iedb.org/assay/1853519,http://www.iedb.org/epitope/149231,3EJZ
http://www.iedb.org/assay/1853589,http://www.iedb.org/epitope/2134567,3NIG
http://www.iedb.org/assay/1853591,http://www.iedb.org/epitope/2134567,3NID
http://www.iedb.org/assay/1853592,http://www.iedb.org/epitope/2134567,3NIF
http://www.iedb.org/assay/1853705,http://www.iedb.org/epitope/2144578,2VXT
http://www.iedb.org/assay/1854070,http://www.iedb.org/epitope/158568,3OGO
http://www.iedb.org/assay/1854106,http://www.iedb.org/epitope/2135104,2XTJ
http://www.iedb.org/assay/1857716,http://www.iedb.org/epitope/150816,1AI1
http://www.iedb.org/assay/1857751,http://www.iedb.org/epitope/2135382,2VWE
http://www.iedb.org/assay/1859610,http://www.iedb.org/epitope/164077,1G9M
http://www.iedb.org/assay/1859705,http://www.iedb.org/epitope/2138105,2XWT
http://www.iedb.org/assay/1859848,http://www.iedb.org/epitope/226416,3HPL
http://www.iedb.org/assay/1859923,http://www.iedb.org/epitope/226416,3FB7
http://www.iedb.org/assay/1859924,http://www.iedb.org/epitope/2135256,3MJ9
http://www.iedb.org/assay/1861048,http://www.iedb.org/epitope/161755,3K7U
http://www.iedb.org/assay/1861049,http://www.iedb.org/epitope/161757,3K81
http://www.iedb.org/assay/1861070,http://www.iedb.org/epitope/161756,3K80
